FSTVL_NM,OPAR_NM,FSTVL_CN,TEL_NO,HMPG_URL,FCLTY_ROAD_NM_ADDR,LNM_ADDR,LA,LO,BHF_CD,BHF_NM,MESURE_DE,AVRG_TP,AVRG_TOP_TP,AVRG_LWET_TP,TOP_TP,LWET_TP,TOP_TP_OCCRRNC_DE,LWET_TP_OCCRRNC_DE,AVRG_ARCSR,AVRG_PARTN_HD,AVRG_WIND_VE
교동시장한마음축제,교동시장,교동시장보물찾기+추억의 낭만 DJ +사진전 등,534270443,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
구례동편소리축제,서시천체육공원 일원,"○ 대표프로그램 : 개막공연, 국악공연, 송만갑판소리고수대회 ○ 농특산품 판매, 향토음식점, 군홍보관 운영 등○ 동편제소리홍보관, 판소리배우기 등",617802431,https://www.gurye.go.kr/tour,전라남도 구례군 구례읍 서시천로 76-11,,35.21572405,127.468087,174,순천,20221101,9.3,17.8,2.5,22.7,-3,20221110,20221130,1001.1,72,1.7
구례썸머뮤직페스티벌,구례공설운동장,"○ 락밴드 및 트로트 공연○ 체험 및 먹거리부스 운영 : 압화체험, 향토음식점, 홍보부스 등○ 부대행사 : 재활용놀이터, 플리마켓, 포토월 등",617802390,,전라남도 구례군 구례읍 서시천로 106,,35.2166161,127.4668741,174,순천,20221101,9.3,17.8,2.5,22.7,-3,20221110,20221130,1001.1,72,1.7
구로G페스티벌,서울특별시 구로구 안양천,구민이 주체가 되어 자발적으로 참여하는 구로구민을 위한 비대면 축제,28602282,www.gfestival.co.kr,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435,37.49551123,126.8882891,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
구름산예술제,시민회관,예술전시+행사,226806871,,경기도 광명시 시청로 20,경기도 광명시 철산동 222-1,37.47909912,126.8648475,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
구름산예술제,시민회관,예술전시+행사,226806871,,경기도 광명시 시청로 20,경기도 광명시 철산동 222-1,37.47909912,126.8648475,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
구름산예술제,시민회관,예술전시+행사,226806871,,경기도 광명시 시청로 20,경기도 광명시 철산동 222-1,37.47909912,126.8648475,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
구름산예술제,시민체육관,예술 전시+부대행사,226806871,,경기도 광명시 오리로 703,경기도 광명시 하안동 577,37.46251993,126.8711626,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
구름산예술제,시민체육관,예술 전시+부대행사,226806229,,경기도 광명시 오리로 703,경기도 광명시 하안동 577,37.46251993,126.8711626,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
구름산예술제,광명문화예술교육지원센터 광명극장,예술 전시+부대행사,226806229,,경기도 광명시 철망산로 2,경기도 광명시 하안동 산 718-20,37.46676411,126.8699008,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
