FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,RDNMADR_NM,TIME,SEARCH_SUM,RANK_AVG
화순고인돌문화축제,34.9963296161,126.9174738332,전라남도,화순군,도곡면,도곡면,전라남도 화순군 도곡면 효자1길 20,2020-03~2020-03,11.0,1.0
화순운주문화축제,34.9203224518,126.8767649429,전라남도,화순군,도암면,도암면,전라남도 화순군 도암면 천태로 91-44,2020-01~2020-05,89.0,3.0
황태축제,38.2208221,128.3705583,강원도,인제군,북면,북면,강원도 인제군 북면 황태길 372,2020-01~2020-07,122.0,4.0
횡성한우축제,37.488212765,127.9736494274,강원도,횡성군,횡성읍,횡성읍,강원도 횡성군 횡성읍 문예로 75,2020-01~2020-09,26270.0,5.0
효문화뿌리축제,36.2859869,127.3834148,대전광역시,중구,안영동,산성동,대전광역시 중구 뿌리공원로 45,2020-02~2020-09,173.0,4.5
흑석산 철쭉제,34.671543,126.6161037,전라남도,해남군,계곡면,계곡면,전라남도 해남군 계곡면 산골길 306,2020-02~2020-05,97.0,2.0
흥부제,35.4029489054,127.3866196865,전라북도,남원시,어현동,노암동,전라북도 남원시 양림길 12,2020-01~2020-09,770.0,5.0
희망달서 큰잔치,35.8428586646,128.5221240708,대구광역시,달서구,장기동,장기동,대구광역시 달서구 문화회관길 160,2020-07~2020-07,46.0,1.0
2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,평촌동,평안동,경기도 안양시 동안구 관평로 149,2021-01~2021-12,1550.0,6.5
2015 안양 시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,평촌동,평안동,경기도 안양시 동안구 관평로 149,2021-01~2021-12,1550.0,6.5
2016 광복기념음악회,37.3852888807,126.9076744633,경기도,안양시 만안구,안양동,안양9동,경기도 안양시 만안구 병목안로 215,2021-08~2021-08,15.0,1.0
2016 대가야체험축제,35.7210761376,128.2601558557,경상북도,고령군,대가야읍,대가야읍,경상북도 고령군 대가야읍 대가야로 1216,2021-01~2021-12,434.0,6.5
2016 대구약령시한방문화축제,35.867194,128.593426,대구광역시,중구,동성로3가,성내2동,대구광역시 중구 동성로3가 중앙대로 379-2,2021-01~2021-12,6618.0,6.5
